"NAME","CITY","COUNT"
NOEL,PETIT-GOAVE,614
BENJAMIN,PORT-AU-PRINCE,611
VICTOR,DELMAS,606
LAURENT,PETION-VILLE,606
AUGUSTIN,TABARRE,604
CALIXTE,CARREFOUR,604
JEROME,VERRETTES,600
JEAN-BAPTISTE,BELLE ANSE,600
PIERRE-LOUIS,PETITE-RIVIERE,600
LAGUERRE,CAP-HAITIEN,599
EXANTUS,CROIX DES BOUQUETS,598
JEAN-BAPTISTE,CROIX DES BOUQUETS,597
SALOMON,PORT-AU-PRINCE,595
ESTIME,SAINT MARC,594
JEAN BAPTISTE,BAINET,593
BAZILE,PETION-VILLE,593
SANON,JACMEL,593
SYLVAIN,PORT-AU-PRINCE,592
JANVIER,DELMAS,592
COMPERE,CAP-HAITIEN,592
EUGENE,PORT-AU-PRINCE,591
JEAN PIERRE,JACMEL,590
JEAN-BAPTISTE,PORT-DE-PAIX,588
GERMAIN,CARREFOUR,587
DESIR,CITE-SOLEIL,585
ULYSSE,CROIX DES BOUQUETS,584
GABRIEL,PETION-VILLE,582
NOEL,JACMEL,581
JEANTY,DELMAS,580
CASTOR,AQUIN,580
ANTOINE,GONAIVES,579
TOUSSAINT,PORT-DE-PAIX,578
SIMON,CARREFOUR,578
GABRIEL,CARREFOUR,577
BLANC,PETION-VILLE,577
PETIT-HOMME,GONAIVES,575
RICHARD,PORT-AU-PRINCE,573
SAINTIL,CAP-HAITIEN,572
MOISE,CROIX DES BOUQUETS,572
JEAN PIERRE,PETION-VILLE,571
LAGUERRE,CAYES,571
SIMEON,DELMAS,571
THEODORE,PORT-AU-PRINCE,570
JULES,JACMEL,570
JEAN BAPTISTE,CAP-HAITIEN,569
LOUISSAINT,PETION-VILLE,569
HENRY,CARREFOUR,567
JEUDY,CARREFOUR,567
BIEN-AIME,CARREFOUR,566
JEROME,CARREFOUR,563
INNOCENT,PETION-VILLE,561
GUERRIER,CAP-HAITIEN,558
AZOR,PORT-AU-PRINCE,558
FELIX,PETION-VILLE,556
DOMOND,JACMEL,555
RAPHAEL,PORT-AU-PRINCE,555
VINCENT,PORT-AU-PRINCE,554
JULES,CROIX DES BOUQUETS,554
BELIZAIRE,PETION-VILLE,554
CESAR,PETION-VILLE,553
BLANC,CROIX DES BOUQUETS,553
BRUTUS,PORT-AU-PRINCE,553
SANON,JEREMIE,553
JEAN-BAPTISTE,L'ANSE ROUGE,553
JEAN-LOUIS,SAINT MARC,552
AUGUSTIN,DESSALINES,552
AUGUSTIN,PETIT-GOAVE,551
JEAN BAPTISTE,LEOGANE,549
SIMEON,PORT-AU-PRINCE,549
LUBIN,DELMAS,548
JULIEN,CROIX DES BOUQUETS,547
HENRY,DELMAS,546
CELESTIN,PETION-VILLE,546
AUGUSTIN,GROS MORNE,545
DOR,CROIX DES BOUQUETS,545
THOMAS,PETION-VILLE,545
GABRIEL,DELMAS,544
DESROSIERS,PORT-AU-PRINCE,544
ANTOINE,TABARRE,544
JANVIER,CARREFOUR,543
TOUSSAINT,OUANAMINTHE,542
BERNARD,TORBECK,542
GUERRIER,LEOGANE,540
SANON,LEOGANE,540
DELVA,GONAIVES,539
BELIZAIRE,CARREFOUR,538
JN BAPTISTE,DELMAS,538
FELIX,CAYES,537
MOMPREMIER,CAP-HAITIEN,537
MONDESIR,DELMAS,537
GUILLAUME,CARREFOUR,536
CALIXTE,PORT-DE-PAIX,536
JEUNE,CARREFOUR,535
GERMAIN,CROIX DES BOUQUETS,534
VICTOR,CARREFOUR,533
LAFLEUR,PORT-AU-PRINCE,531
METELLUS,PORT-AU-PRINCE,530
JEAN-LOUIS,JACMEL,529
RAYMOND,CARREFOUR,529
RAYMOND,DELMAS,528
LOUISSAINT,CROIX DES BOUQUETS,527
JEROME,PETITE-RIVIERE,526
DORT,SAINT MARC,525
CELESTIN,CROIX DES BOUQUETS,524
DENIS,DELMAS,524
ALEXANDRE,LEOGANE,524
SAINTIL,GONAIVES,524
VITAL,PORT-AU-PRINCE,524
GEDEON,PORT-AU-PRINCE,524
GABRIEL,JACMEL,522
CADET,CITE-SOLEIL,522
EDMOND,CARREFOUR,521
PETIT-HOMME,GROS MORNE,521
RAYMOND,PETION-VILLE,519
JEAN-BAPTISTE,PETITE-RIVIERE,519
FILS-AIME,PORT-AU-PRINCE,519
AUGUSTE,SAINT MARC,519
DESIR,CAYES,518
SANON,CORAIL,518
BEAUBRUN,PORT-AU-PRINCE,517
ALEXIS,SAINT-MICHEL,516
SIMON,AQUIN,516
PETIT-FRERE,CAP-HAITIEN,515
DESTIN,PORT-AU-PRINCE,515
DIEUJUSTE,SAINT MARC,515
DESIR,PETIT-GOAVE,514
AUGUSTIN,GRDE RIVIERE DU NORD,513
HILAIRE,DELMAS,513
JEROME,DELMAS,511
JEAN-BAPTISTE,DESSALINES,511
LINDOR,DELMAS,511
DELICE,PORT-AU-PRINCE,511
BIEN-AIME,HINCHE,509
JEUDY,DELMAS,509
GAY,PORT-AU-PRINCE,508
RENE,CROIX DES BOUQUETS,508
JEAN-LOUIS,PORT-DE-PAIX,507
LUNDY,PORT-AU-PRINCE,507
CASIMIR,CARREFOUR,506
DORVIL,DELMAS,505
NOEL,CAYES,504
ROMAIN,PORT-AU-PRINCE,503
DORSAINVIL,SAINT MARC,503
CALIXTE,PETION-VILLE,503
ALTIDOR,PORT-AU-PRINCE,503
ANTOINE,HINCHE,502
LAMOUR,PORT-AU-PRINCE,502
MONDESIR,CARREFOUR,501
DELVA,PETION-VILLE,501
BERNARD,CROIX DES BOUQUETS,496
AUGUSTE,PORT-DE-PAIX,495
ALTIDOR,CAP-HAITIEN,495
JN BAPTISTE,CARREFOUR,495
JEUNE,PETION-VILLE,494
DESIR,PLAISANCE,494
HILAIRE,CARREFOUR,493
DOMINIQUE,PORT-AU-PRINCE,491
BLANC,PORT-DE-PAIX,490
AUGUSTE,JEREMIE,488
MILIEN,PORT-AU-PRINCE,488
HENRY,PETION-VILLE,487
BIEN-AIME,CROIX DES BOUQUETS,486
CASIMIR,DELMAS,485
INNOCENT,PORT-AU-PRINCE,485
FELIX,CROIX DES BOUQUETS,485
GILLES,SAINT-MICHEL,484
BLAISE,PORT-AU-PRINCE,484
AUGUSTIN,PIGNON,484
BAPTISTE,PETIT-GOAVE,483
MAURICE,PORT-AU-PRINCE,483
ROMULUS,LEOGANE,483
ALTIDOR,PETION-VILLE,482
GABRIEL,THIOTTE,482
DENAUD,BELLADERE,481
BLANC,DELMAS,481
DORVIL,CAP-HAITIEN,479
JEAN-PIERRE,JACMEL,479
TOUSSAINT,L'ARCAHAIE,478
ALEXANDRE,JACMEL,478
CIVIL,CARREFOUR,477
PIERRE LOUIS,JEREMIE,477
JANVIER,CROIX DES BOUQUETS,476
MARC,PETION-VILLE,476
MOISE,CAYES,476
BAPTISTE,CROIX DES BOUQUETS,476
JEROME,PETION-VILLE,475
JEUDY,PETION-VILLE,475
JEAN-LOUIS,PETION-VILLE,475
JEAN LOUIS,BAINET,475
SAINT-LOUIS,GONAIVES,474
BERNARD,PETION-VILLE,474
CELESTIN,CAP-HAITIEN,474
AUGUSTIN,TROU DU NORD,473
EMILE,PORT-AU-PRINCE,473
NOEL,JEREMIE,473
EUGENE,DELMAS,473
RENE,CAYES,473
RENE,JEREMIE,473
TOUSSAINT,JACMEL,472
AUGUSTE,CITE-SOLEIL,472
CLERMONT,PORT-AU-PRINCE,471
GARCON,CAP-HAITIEN,471
JEAN LOUIS,CROIX DES BOUQUETS,470
JEAN FRANCOIS,PORT-AU-PRINCE,470
LAGUERRE,CROIX DES BOUQUETS,470
NOEL,DESSALINES,470
TOUSSAINT,SAINT MARC,470
JN BAPTISTE,PETION-VILLE,469
GABRIEL,SAINT MARC,469
BAZILE,CARREFOUR,469
ALEXIS,TABARRE,468
DORCELY,GONAIVES,467
MATHURIN,CARREFOUR,467
JEUNE,GONAIVES,466
FORTUNE,CARREFOUR,466
DORSAINVIL,PORT-AU-PRINCE,466
AUGUSTIN,JACMEL,466
AUGUSTE,CAYES,464
CESAR,JACMEL,464
JEAN CHARLES,CARREFOUR,464
FILS-AIME,GONAIVES,464
LAGUERRE,JEREMIE,463
ST LOUIS,DELMAS,463
BARTHELEMY,PORT-AU-PRINCE,463
EDOUARD,PETION-VILLE,463
CESAR,DELMAS,462
DELVA,CARREFOUR,462
DANIEL,PORT-AU-PRINCE,462
JACQUES,CROIX DES BOUQUETS,462
JEAN LOUIS,CITE-SOLEIL,461
JEAN-LOUIS,CAP-HAITIEN,461
LIMAGE,GONAIVES,461
NELSON,DELMAS,460
GEORGES,CAYES,460
JANVIER,SAINT LOUIS DU SUD,458
FAUSTIN,PORT-AU-PRINCE,458
DIEUDONNE,PORT-AU-PRINCE,458
DESIR,GRESSIER,458
SAINT-LOUIS,BELLE ANSE,458
SANON,PETIT-GOAVE,458
SAINTIL,CARREFOUR,458
LEON,PORT-AU-PRINCE,457
LAGUERRE,CITE-SOLEIL,457
AUGUSTIN,SAINT-MICHEL,457
ALEXANDRE,SAINT MARC,455
SAINT-LOUIS,PORT-AU-PRINCE,455
JEAN LOUIS,JACMEL,455
BRUTUS,CROIX DES BOUQUETS,454
BENOIT,DELMAS,454
AUGUSTE,LEOGANE,453
ELIE,PORT-AU-PRINCE,453
ESPERANCE,CHARDONNIERES,453
JN LOUIS,PORT-AU-PRINCE,453
SANON,CITE-SOLEIL,453
SIMON,PETION-VILLE,453
MARCELIN,JACMEL,452
FILS-AIME,CAP-HAITIEN,451
NAZAIRE,PORT-AU-PRINCE,451
CAJUSTE,SAINT MARC,451
BRICE,PORT-AU-PRINCE,450
DESTIN,PETION-VILLE,450
GUSTAVE,PORT-AU-PRINCE,450
JEAN CHARLES,DELMAS,450
LINDOR,CARREFOUR,449
MARSEILLE,PORT-AU-PRINCE,448
JULIEN,PETION-VILLE,447
LAGUERRE,LEOGANE,447
EUGENE,CARREFOUR,447
AUGUSTIN,ENNERY,447
AUGUSTIN,GANTHIER,447
BAZILE,DELMAS,446
DESIR,TABARRE,446
BOURSIQUOT,LA VALLEE,446
MICHAUD,AQUIN,446
EXANTUS,SAINT MARC,445
CASIMIR,PETION-VILLE,445
ALTIDOR,CROIX DES BOUQUETS,445
BENJAMIN,DELMAS,444
AUGUSTE,TABARRE,443
GUILLAUME,SAINT MARC,443
JEAN-PIERRE,CAP-HAITIEN,443
SEVERE,PORT-AU-PRINCE,443
PETIT-FRERE,PORT-AU-PRINCE,443
AUGUSTE,CAP-HAITIEN,441
LAGUERRE,MARIGOT,441
LEGER,PORT-AU-PRINCE,441
GUERRIER,CITE-SOLEIL,440
PHILIPPE,DELMAS,440
MATHURIN,DELMAS,439
BONHOMME,PORT-AU-PRINCE,439
VINCENT,DELMAS,438
METELLUS,CAP-HAITIEN,438
JEUDY,CAYES JACMEL,438
GUILLAUME,PETION-VILLE,437
CASSEUS,CROIX DES BOUQUETS,437
HYPPOLITE,CARREFOUR,436
